"OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC","AUDI_ACC_PRED"
"2","1",122,"미국","기타","액션","청소년관람불가","1",2.40654018043396,3.26552533521907,"0",276379,732488.610791929
"5","2",129,"일본","기타","애니메이션","전체관람가","0",2.55022835305509,3.94738470168474,"1",272877,131678.794273649
"10","4",107,"미국","기타","드라마","15세이상관람가","0",1.34242268082221,2.32837960343874,"0",272364,8872.42952032406
"2","1",108,"미국","기타","코미디","청소년관람불가","0",1.23044892137827,0,"0",267843,8825.89415511075
"9","3",106,"미국","유니버설픽쳐스인터내셔널 코리아(유)","코미디","청소년관람불가","1",1.36172783601759,0,"0",266574,42120.5911693522
"7","3",98,"일본","기타","애니메이션","전체관람가","0",2.05307844348342,0,"0",264918,58551.9180706491
"12","4",113,"미국","기타","드라마","전체관람가","0",2.32837960343874,3.15775888604686,"1",260506,123389.986987186
"9","3",92,"미국","워너브러더스 코리아(주)","공포","청소년관람불가","0",1.91381385238372,0,"0",257193,144700.574121057
"6","2",114,"스웨덴","기타","어드벤처","15세이상관람가","0",2.11727129565576,2.87794695162919,"1",240990,38420.6293369497
"10","4",113,"한국","롯데쇼핑㈜롯데엔터테인먼트","코미디","15세이상관람가","0",2.19312459835446,0,"0",233211,623022.828870418
"8","3",84,"한국","기타","공포","15세이상관람가","0",2.59439255037543,0,"0",229610,34726.5123293899
"2","1",97,"미국","(주)넥스트엔터테인먼트월드(NEW)","SF","15세이상관람가","0",2.28330122870355,0,"0",229014,168762.42000675
"9","3",103,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","0",1.96848294855394,0,"0",228899,281627.742123047
"2","1",130,"미국","기타","판타지","전체관람가","1",1.65321251377534,2.65127801399814,"0",224010,76221.8312893299
"1","1",130,"미국","기타","액션","15세이상관람가","0",1.99122607569249,2.97220283837906,"0",223740,117362.937888532
"4","2",117,"미국","기타","액션","15세이상관람가","0",2.07918124604762,0,"0",222927,113400.946062567
"4","2",98,"미국","(주)넥스트엔터테인먼트월드(NEW)","액션","15세이상관람가","0",3.06520612805431,2.61384182187607,"0",221327,352736.42281942
"4","2",93,"영국","(주)넥스트엔터테인먼트월드(NEW)","코미디","12세이상관람가","0",2.53529412004277,0,"0",216852,140869.136476141
"3","1",102,"미국","(주)넥스트엔터테인먼트월드(NEW)","액션","15세이상관람가","0",1.83884909073726,3.11126251365907,"0",214949,146242.215891081
"4","2",106,"미국","이십세기폭스코리아(주)","드라마","12세이상관람가","0",2.51321760006794,3.04336227802113,"0",214003,167525.408061344
"3","1",111,"미국","기타","가족","전체관람가","0",1.78532983501077,2.51982799377572,"0",212836,28932.341691495
"9","3",126,"일본","기타","액션","청소년관람불가","0",2.17318626841227,3.13225968953104,"1",212599,32780.2622546139
"2","1",115,"한국","기타","멜로","청소년관람불가","0",2.41161970596323,4.02308776699545,"0",203775,544776.836180748
"3","1",107,"미국","씨제이이앤엠(주)","드라마","15세이상관람가","0",1.8750612633917,0,"1",202148,94375.2689756514
"2","1",89,"프랑스","기타","애니메이션","전체관람가","0",1.69897000433602,3.16106838547117,"0",201365,36806.6077089053
"11","4",110,"한국","기타","코미디","청소년관람불가","0",2.08635983067475,0,"0",200123,127379.556953633
"1","1",91,"프랑스","기타","가족","전체관람가","0",2.18184358794477,0,"1",199851,26718.5640749871
"9","3",91,"일본","씨제이이앤엠(주)","애니메이션","12세이상관람가","0",2.19589965240923,0,"0",197408,88521.5007941316
"12","4",93,"미국","이십세기폭스코리아(주)","애니메이션","전체관람가","0",2.41830129131975,3.464191370641,"0",197238,518508.373514657
"10","4",124,"한국","기타","드라마","전체관람가","0",2.24797326636181,0,"0",193724,270190.920129898
"10","4",95,"한국","기타","다큐멘터리","15세이상관람가","0",2.78318869107526,3.58206336291171,"0",193578,87903.4005726176
"2","1",129,"일본","기타","판타지","전체관람가","0",2.23044892137827,3.58421811211741,"1",191880,62871.9809727767
"9","3",84,"미국","기타","애니메이션","전체관람가","0",1.49136169383427,0,"0",191783,37633.5944405509
"10","4",165,"미국","유니버설픽쳐스인터내셔널 코리아(유)","드라마","15세이상관람가","0",1.56820172406699,3.01283722470517,"0",190893,55947.3327359984
"10","4",96,"프랑스","기타","코미디","12세이상관람가","1",2.02938377768521,3.15136985024746,"0",190384,37283.7480320165
"3","1",143,"한국","기타","스릴러","15세이상관람가","0",1.96378782734556,2.90471554527868,"0",183804,71669.591022946
