OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,AUDI_ACC,y_pred,exp(train_y),exp(y_pred)
26,125,한국,워너브러더스 코리아(주),미스터리,15세이상관람가,0,4.36944785246702,5.61677109766657,14.9752464811762,13.3621256233584,3189091,635473.470809809
24,116,한국,씨제이이앤엠(주),코미디,15세이상관람가,1,5.05624580534831,6.63331843328038,14.9622899596029,14.035891587039,3148038,1246551.61251726
20,137,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1,6.92951677076365,0,14.956558258894,14.6062278682833,3130046,2204977.5122462
29,115,한국,씨제이이앤엠(주),코미디,15세이상관람가,0,6.02586597382531,0,14.9549669209089,14.3083243923588,3125069,1636915.7556089
33,121,한국,기타,드라마,15세이상관람가,0,7.63336964967958,0,14.9530303697211,13.1193073957627,3119023,498474.341558606
28,129,미국,롯데쇼핑㈜롯데엔터테인먼트,범죄,12세이상관람가,1,7.16472037877186,9.19674841845672,14.9469491204039,14.6715206466184,3100113,2353750.6770914
4,115,한국,씨제이엔터테인먼트,드라마,12세이상관람가,0,6.68461172766793,0,14.9367137399622,14.539004775892,3068544,2061624.40448236
21,128,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1,6.9037472575846,9.46800128531595,14.9306173938813,14.8919011837744,3049894,2934070.25866732
13,115,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0,6.70073110954781,10.2187726324139,14.9287270180198,14.2727268761504,3044134,1579670.55876282
44,111,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,1,6.57507584059962,0,14.9273315595579,14.1287733023964,3039889,1367880.88690298
22,124,한국,씨제이엔터테인먼트,사극,청소년관람불가,0,5.27299955856375,0,14.9257602025032,14.2339997742012,3035116,1519663.9368519
29,125,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,1,5.02388052084628,7.24422751560335,14.9250799312649,13.9491159851809,3033052,1142941.75695171
29,115,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,1,5.97380961186926,0,14.9156706481693,14.2492104801623,3004647,1542955.79185796
48,114,한국,씨제이이앤엠(주),공포,12세이상관람가,0,5.66642668811243,0,14.9146327166266,14.1520579328175,3001530,1400105.19747694
30,101,미국,씨제이이앤엠(주),애니메이션,전체관람가,1,6.52209279817015,8.35819745992578,14.9141415131248,14.4285710660579,3000056,1846072.68216667
47,109,한국,씨제이이앤엠(주),코미디,12세이상관람가,0,6.70808408385307,10.1503476304677,14.9081121518785,14.260378630891,2982022,1560284.33850769
46,123,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,청소년관람불가,1,7.6685611080159,0,14.9045690204942,14.3573470385238,2971475,1719161.17095406
48,135,한국,(주)인벤트스톤,액션,15세이상관람가,0,9.66446865206363,0,14.9018643506811,13.3815890653395,2963449,647963.123372632
35,102,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,드라마,12세이상관람가,0,3.17805383034795,5.16478597392351,14.897296745085,12.9616400633297,2949944,425763.822115007
29,133,한국,(주)쇼박스,드라마,15세이상관람가,0,6.31173480915291,0,14.8956658935104,14.7326369228764,2945137,2502089.95569134
21,145,미국,이십세기폭스코리아(주),액션,12세이상관람가,1,6.62539236800796,9.5959428509881,14.8935180176585,14.8912133980421,2938818,2932052.94082654
12,124,한국,(주)쇼박스,범죄,청소년관람불가,0,7.30518821539304,8.98994304633,14.8911602117673,14.6150244751229,2931897,2224459.39411339
