"OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC"
"1","1",135,"한국","기타","액션","청소년관람불가","0",1317,21361,"0",2192172
"3","1",108,"미국","기타","판타지","전체관람가","1",726,0,"1",2182365
"6","2",142,"미국","워너브러더스 코리아(주)","SF","12세이상관람가","1",967,0,"0",2182227
"12","4",156,"한국","기타","스릴러","청소년관람불가","0",460,0,"0",2167426
"5","2",140,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","1",292,3222,"1",2165401
"11","4",114,"한국","(주)넥스트엔터테인먼트월드(NEW)","SF","15세이상관람가","0",1028,0,"0",2164805
"12","4",137,"한국","기타","전쟁","15세이상관람가","0",796,0,"1",2142622
"5","2",103,"미국","유니버설픽쳐스인터내셔널 코리아(유)","공포","15세이상관람가","0",1024,5068,"0",2138146
"10","4",111,"한국","기타","멜로","15세이상관람가","0",285,8499,"0",2135614
"6","2",119,"한국","기타","코미디","15세이상관람가","0",1306,6176,"0",2108273
"7","3",124,"미국","(주)넥스트엔터테인먼트월드(NEW)","판타지","12세이상관람가","0",1599,0,"1",2105050
"5","2",119,"한국","(주)넥스트엔터테인먼트월드(NEW)","스릴러","15세이상관람가","0",270,0,"0",2095375
"9","3",126,"한국","기타","사극","12세이상관람가","0",283,1758,"0",2087474
"2","1",106,"미국","(주)넥스트엔터테인먼트월드(NEW)","액션","15세이상관람가","0",330,0,"0",2084457
"12","4",118,"한국","롯데쇼핑㈜롯데엔터테인먼트","코미디","청소년관람불가","0",184,0,"0",2080574
"1","1",90,"미국","씨제이이앤엠(주)","애니메이션","전체관람가","1",223,0,"1",2080154
"8","3",89,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","0",387,1559,"0",2078492
"3","1",137,"미국","이십세기폭스코리아(주)","액션","청소년관람불가","1",541,4093,"1",2070084
"8","3",126,"한국","(주)넥스트엔터테인먼트월드(NEW)","판타지","12세이상관람가","0",2660,17219,"0",2053947
"8","3",139,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",508,6877,"0",2050909
"7","3",120,"한국","씨제이이앤엠(주)","사극","12세이상관람가","0",863,20055,"0",2044564
"3","1",139,"미국","씨제이이앤엠(주)","어드벤처","15세이상관람가","0",607,1674,"1",2026574
"1","1",156,"미국","이십세기폭스코리아(주)","어드벤처","15세이상관람가","0",944,5179,"1",2007180
"5","2",116,"미국","기타","액션","12세이상관람가","0",213,0,"0",2003533
"1","1",120,"한국","(주)넥스트엔터테인먼트월드(NEW)","멜로","15세이상관람가","0",458,0,"0",1979311
"9","3",89,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","청소년관람불가","0",609,12047,"0",1971837
"9","3",114,"한국","씨제이이앤엠(주)","범죄","15세이상관람가","0",170,946,"0",1967721
