TOP_DIRECTOR,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,TOP_ACTOR,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
조근현,11,4,48,135,한국,(주)인벤트스톤,액션,15세이상관람가,진구,0,15748,0,1,2963449
아니쉬 차간티,8,3,35,102,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,드라마,12세이상관람가,존 조,0,24,175,0,2949944
장훈,7,3,29,133,한국,(주)쇼박스,드라마,15세이상관람가,기타,0,551,0,0,2945137
브라이언 싱어,5,2,21,145,미국,이십세기폭스코리아(주),액션,12세이상관람가,기타,1,754,14705,0,2938818
나현,3,1,12,124,한국,(주)쇼박스,범죄,청소년관람불가,한석규,0,1488,8022,0,2931897
필립 노이스,7,3,30,99,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,스릴러,15세이상관람가,안젤리나 졸리,0,119,0,0,2921331
김영탁,12,4,51,111,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,12세이상관람가,차태현,0,495,0,0,2897477
곽경택,6,2,25,107,한국,(주)쇼박스,드라마,15세이상관람가,김윤석,0,235,9189,1,2860786
창,4,2,18,98,한국,씨제이이앤엠(주),액션,15세이상관람가,류승룡,0,247,1717,0,2841788
페이튼 리드,9,3,36,116,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,폴 러드,1,411,6457,1,2839921
피터 잭슨,12,4,51,144,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,마틴 프리먼,1,891,16936,0,2836774
이석근,8,3,34,110,한국,메가박스중앙(주)플러스엠,멜로,12세이상관람가,박보영,0,166,2034,0,2820029
피터 잭슨,12,4,50,169,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,마틴 프리먼,,1074,0,0,2818993
웨스 볼,9,3,38,113,미국,이십세기폭스코리아(주),액션,12세이상관람가,딜런 오브라이언,1,323,2750,1,2812427
엄유나,1,1,2,135,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,12세이상관람가,유해진,0,176,599,0,2811757
데이빗 예이츠,12,4,50,146,미국,워너브러더스 코리아(주),미스터리,전체관람가,다니엘 래드클리프,,2453,0,1,2809053
돈 홀/크리스 윌리암스,1,1,4,107,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,라이언 포터,0,591,5065,0,2801949
크리스토퍼 놀란,7,3,29,106,미국,워너브러더스 코리아(주),액션,12세이상관람가,톰 하디,0,491,6381,0,2792705
루퍼트 와이어트,8,3,33,106,미국,이십세기폭스코리아(주),액션,12세이상관람가,브라이언 콕스,1,402,0,0,2773794
류승완,10,4,43,119,한국,씨제이엔터테인먼트,범죄,청소년관람불가,황정민,0,111,0,0,2766436
웨스 볼,9,3,38,131,미국,이십세기폭스코리아(주),액션,12세이상관람가,딜런 오브라이언,1,847,35841,1,2744413
제임스 건,5,2,18,135,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,크리스 프랫,1,541,7337,0,2735719
김현석,9,3,37,121,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,12세이상관람가,엄태웅,0,545,0,0,2731828
정병길,11,4,45,119,한국,(주)쇼박스,액션,청소년관람불가,정재영,0,874,0,0,2721903
루이스 리테리어,8,3,34,115,미국,롯데쇼핑㈜롯데엔터테인먼트,범죄,12세이상관람가,기타,,387,0,0,2718227
팀 버튼,9,3,39,126,미국,이십세기폭스코리아(주),미스터리,12세이상관람가,기타,0,150,8695,1,2718158
루이스 리테리어,4,2,13,106,미국,워너브러더스 코리아(주),액션,12세이상관람가,랄프 파인즈,1,240,0,0,2685508
정범식,3,1,13,94,한국,(주)쇼박스,공포,15세이상관람가,위하준,0,778,744,0,2675559
이준익,10,4,40,122,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,설경구,0,2820,0,1,2663170
원신연,9,3,36,118,한국,(주)쇼박스,범죄,15세이상관람가,설경구,0,991,9811,1,2656694
